Test,Result,MinMB,MaxMB,AvgMB,Samples,Error
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Small.Topology_Chain,Pass,0.125,604.7265625,336.33671875,65,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Small.Topology_FanOut,Pass,0.125,615.44140625,336.6092529296875,64,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Small.MultiCycle_Execution,Pass,0.125,603.390625,338.2852783203125,64,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Small.AccessVerification_DisposalCheck,Pass,0.125,605.375,335.8336433531746,63,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Medium.Topology_Chain,Pass,0.125,642.796875,340.2276870265151,66,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Medium.Topology_FanOut,Pass,0.125,709.28125,368.83933423913044,69,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Medium.MultiCycle_Execution,Pass,0.0,642.3359375,331.76640625,65,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_Medium.AccessVerification_DisposalCheck,Pass,0.125,641.54296875,338.01178075396825,63,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_High.Topology_Chain,Pass,0.125,752.06640625,374.1695197610294,68,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_High.Topology_FanOut,Pass,0.125,947.71875,451.178271484375,80,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_High.MultiCycle_Execution,Pass,0.125,741.98046875,350.8397235576923,65,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_High.AccessVerification_DisposalCheck,Pass,0.125,743.32421875,348.33159722222223,63,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_HighPlus.Topology_Chain,Pass,0.125,794.71484375,352.1705322265625,64,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_HighPlus.Topology_FanOut,Pass,0.125,1066.01953125,451.84683388157896,76,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_HighPlus.MultiCycle_Execution,Pass,0.125,783.84375,349.17359138257575,66,
ImageAutomate.Execution.MemoryAndAccessTests.LowRes_HighPlus.AccessVerification_DisposalCheck,Pass,0.125,798.3046875,358.19385494402985,67,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Small.Topology_Chain,Pass,0.125,615.0078125,337.0618179563492,63,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Small.Topology_FanOut,Pass,0.125,645.25390625,336.98695816532256,62,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Small.MultiCycle_Execution,Pass,0.125,619.27734375,374.7112709603659,82,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Small.AccessVerification_DisposalCheck,Pass,0.125,611.10546875,302.46484375,71,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Medium.Topology_Chain,Pass,0.125,729.2578125,351.33443509615387,65,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Medium.Topology_FanOut,Pass,0.125,902.72265625,368.81716417910445,67,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Medium.MultiCycle_Execution,Pass,0.0,722.84765625,340.1690673828125,64,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_Medium.AccessVerification_DisposalCheck,Pass,0.125,728.19140625,346.36171875,65,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_High.Topology_Chain,Pass,0.125,1044.94921875,394.23540581597223,72,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_High.Topology_FanOut,Pass,0.125,1530.67578125,734.4314850663717,113,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_High.MultiCycle_Execution,Pass,0.125,1009.1015625,376.86781023550725,69,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_High.AccessVerification_DisposalCheck,Pass,0.125,1046.9453125,400.40613996478874,71,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_HighPlus.Topology_Chain,Pass,0.125,1178.3359375,413.1252232142857,70,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_HighPlus.Topology_FanOut,Pass,0.125,2021.3515625,893.6250365070093,107,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_HighPlus.MultiCycle_Execution,Pass,0.125,1151.59765625,402.5432518115942,69,
ImageAutomate.Execution.MemoryAndAccessTests.MidRes_HighPlus.AccessVerification_DisposalCheck,Pass,0.125,1185.36328125,412.483203125,70,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Small.Topology_Chain,Pass,0.125,635.65234375,338.5141129032258,62,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Small.Topology_FanOut,Pass,0.125,701.76171875,339.563232421875,64,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Small.MultiCycle_Execution,Pass,0.125,627.01953125,336.5704385080645,62,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Small.AccessVerification_DisposalCheck,Pass,0.0,629.6171875,331.300533234127,63,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Medium.Topology_Chain,Pass,0.0,872.3203125,358.85600142045456,66,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Medium.Topology_FanOut,Pass,0.125,1165.87109375,418.30597098214287,70,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Medium.MultiCycle_Execution,Pass,0.125,823.01953125,352.72711181640625,64,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_Medium.AccessVerification_DisposalCheck,Pass,0.125,865.0625,361.15576923076924,65,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_High.Topology_Chain,Pass,0.125,1543.93359375,498.2746736550633,79,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_High.Topology_FanOut,Pass,0.125,2645.5703125,1363.0485855800653,153,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_High.MultiCycle_Execution,Pass,0.125,1510.03515625,469.8526182432432,74,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_High.AccessVerification_DisposalCheck,Pass,0.125,1544.46875,495.1058148734177,79,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_HighPlus.Topology_Chain,Pass,0.0,1812.6171875,584.2508835565476,84,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_HighPlus.Topology_FanOut,Pass,0.125,3759.58984375,1843.5783854166666,165,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_HighPlus.MultiCycle_Execution,Pass,0.125,1818.61328125,517.2323217147435,78,
ImageAutomate.Execution.MemoryAndAccessTests.HighRes_HighPlus.AccessVerification_DisposalCheck,Pass,0.125,1820.71875,586.9134324596774,93,
ImageAutomate.Execution.MemoryAndAccessTests.UnitTest1.Test1,Pass,0.125,598.953125,324.86590576171875,64,
